timestamp,station_complex_id,station_complex,passenger_exits
2025-05-05 00:00:00,296,Marble Hill-225 St (1),30.663899999999998
2025-05-05 00:00:00,297,215 St (1),7.2189000000000005
2025-05-05 00:00:00,298,207 St (1),40.5953
2025-05-05 00:00:00,299,Dyckman St (1),51.2827
2025-05-05 00:00:00,300,191 St (1),65.5097
2025-05-05 00:00:00,301,181 St (1),90.0116
2025-05-05 00:00:00,303,157 St (1),96.3061
2025-05-05 00:00:00,304,145 St (1),106.6819
2025-05-05 00:00:00,305,137 St-City College (1),119.1306
2025-05-05 00:00:00,306,125 St (1),60.126
2025-05-05 00:00:00,307,116 St-Columbia University (1),56.3542
2025-05-05 00:00:00,308,Cathedral Pkwy (110 St) (1),66.9225
2025-05-05 00:00:00,309,103 St (1),85.8298
2025-05-05 00:00:00,310,"96 St (1,2,3)",148.2454
2025-05-05 00:00:00,311,86 St (1),53.4424
2025-05-05 00:00:00,312,79 St (1),41.3891
2025-05-05 00:00:00,313,"72 St (1,2,3)",124.0186
2025-05-05 00:00:00,314,66 St-Lincoln Center (1),32.3184
2025-05-05 00:00:00,316,50 St (1),68.0463
2025-05-05 00:00:00,318,"34 St-Penn Station (1,2,3)",157.789
2025-05-05 00:00:00,319,28 St (1),38.725500000000004
2025-05-05 00:00:00,320,23 St (1),50.1468
2025-05-05 00:00:00,321,18 St (1),14.650500000000001
2025-05-05 00:00:00,323,Christopher St-Sheridan Sq (1),39.278999999999996
2025-05-05 00:00:00,324,Houston St (1),20.9496
2025-05-05 00:00:00,325,Canal St (1),11.3535
2025-05-05 00:00:00,326,Franklin St (1),10.8892
2025-05-05 00:00:00,327,"Chambers St (1,2,3)",22.702
2025-05-05 00:00:00,328,WTC Cortlandt (1),51.3625
2025-05-05 00:00:00,329,Rector St (1),26.3576
2025-05-05 00:00:00,333,"Wall St (2,3)",45.870400000000004
2025-05-05 00:00:00,334,"Clark St (2,3)",16.8688
2025-05-05 00:00:00,336,"Hoyt St (2,3)",24.2691
2025-05-05 00:00:00,337,"Nevins St (2,3,4,5)",33.138
2025-05-05 00:00:00,339,"Bergen St (2,3)",16.8631
2025-05-05 00:00:00,340,"Grand Army Plaza (2,3)",21.7455
2025-05-05 00:00:00,341,"Eastern Pkwy-Brooklyn Museum (2,3)",20.3076
2025-05-05 00:00:00,343,Nostrand Av (3),21.4148
2025-05-05 00:00:00,344,Kingston Av (3),27.4714
2025-05-05 00:00:00,345,"Crown Hts-Utica Av (3,4)",174.1712
2025-05-05 00:00:00,346,Sutter Av-Rutland Rd (3),47.3341
2025-05-05 00:00:00,347,Saratoga Av (3),38.1526
2025-05-05 00:00:00,348,Rockaway Av (3),28.7194
2025-05-05 00:00:00,349,Junius St (3),18.9295
2025-05-05 00:00:00,350,Pennsylvania Av (3),19.916
2025-05-05 00:00:00,351,Van Siclen Av (3),21.2539
2025-05-05 00:00:00,352,New Lots Av (3),33.6109
2025-05-05 00:00:00,353,"President St-Medgar Evers College (2,5)",23.5687
2025-05-05 00:00:00,354,"Sterling St (2,5)",36.0983
2025-05-05 00:00:00,355,"Winthrop St (2,5)",37.8014
2025-05-05 00:00:00,356,"Church Av (2,5)",66.8669
2025-05-05 00:00:00,357,"Beverly Rd (2,5)",41.6201
