transit_timestamp,station_complex_id,station_complex,borough,latitude,longitude,passenger_entries,passenger_exits,exit_data_available,scheduled_trains,schedule_data_available,hour,day_of_week,is_weekend
2025-05-05 00:00:00,135,Livonia Av (L),Brooklyn,40.66404,-73.90057,11.0,21.3156,1,4.0,1,0,0,0
2025-05-05 00:00:00,136,New Lots Av (L),Brooklyn,40.658733,-73.89923,15.0,30.3813,1,4.0,1,0,0,0
2025-05-05 00:00:00,137,East 105 St (L),Brooklyn,40.650574,-73.89948,5.0,22.8139,1,4.0,1,0,0,0
2025-05-05 00:00:00,138,Canarsie-Rockaway Pkwy (L),Brooklyn,40.646652,-73.90185,17.0,81.6755,1,4.0,1,0,0,0
2025-05-05 00:00:00,141,Park Pl (S),Brooklyn,40.67477,-73.95763,5.0,6.2742,1,6.0,1,0,0,0
2025-05-05 00:00:00,143,Inwood-207 St (A),Manhattan,40.868073,-73.9199,29.0,50.5126,1,3.0,1,0,0,0
2025-05-05 00:00:00,144,Dyckman St (A),Manhattan,40.86549,-73.92727,9.0,42.5299,1,3.0,1,0,0,0
2025-05-05 00:00:00,145,190 St (A),Manhattan,40.85902,-73.93418,2.0,21.514,1,3.0,1,0,0,0
2025-05-05 00:00:00,146,181 St (A),Manhattan,40.851696,-73.937965,9.0,76.7771,1,3.0,1,0,0,0
2025-05-05 00:00:00,147,175 St (A),Manhattan,40.84739,-73.939705,15.0,61.8275,1,3.0,1,0,0,0
2025-05-05 00:00:00,149,163 St-Amsterdam Av (C),Manhattan,40.836014,-73.939896,7.0,46.1933,1,3.0,1,0,0,0
2025-05-05 00:00:00,150,155 St (C),Manhattan,40.830517,-73.94151,10.0,23.7033,1,2.0,1,0,0,0
2025-05-05 00:00:00,151,"145 St (A,C,B,D)",Manhattan,40.824783,-73.944214,53.0,202.3389,1,,0,0,0,0
2025-05-05 00:00:00,152,"135 St (C,B)",Manhattan,40.817894,-73.94765,8.0,30.7714,1,2.0,1,0,0,0
2025-05-05 00:00:00,153,"125 St (A,C,B,D)",Manhattan,40.811108,-73.95235,124.0,161.7287,1,4.0,1,0,0,0
2025-05-05 00:00:00,154,"116 St (C,B)",Manhattan,40.805084,-73.95488,3.0,42.462,1,2.0,1,0,0,0
2025-05-05 00:00:00,155,"Cathedral Pkwy (110 St) (C,B)",Manhattan,40.800602,-73.95816,18.0,58.6241,1,2.0,1,0,0,0
2025-05-05 00:00:00,156,"103 St (C,B)",Manhattan,40.796093,-73.96146,9.0,42.1511,1,2.0,1,0,0,0
2025-05-05 00:00:00,157,"96 St (C,B)",Manhattan,40.79164,-73.9647,26.0,21.5492,1,2.0,1,0,0,0
2025-05-05 00:00:00,158,"86 St (C,B)",Manhattan,40.78587,-73.96892,25.0,35.2349,1,2.0,1,0,0,0
2025-05-05 00:00:00,159,"81 St-Museum of Natural History (C,B)",Manhattan,40.781433,-73.972145,25.0,29.9744,1,2.0,1,0,0,0
2025-05-05 00:00:00,160,"72 St (C,B)",Manhattan,40.775593,-73.97641,19.0,24.9612,1,2.0,1,0,0,0
2025-05-05 00:00:00,162,"50 St (C,E)",Manhattan,40.762455,-73.985985,102.0,91.6685,1,1.0,1,0,0,0
2025-05-05 00:00:00,164,"34 St-Penn Station (A,C,E)",Manhattan,40.75229,-73.99339,293.0,210.1682,1,1.0,1,0,0,0
2025-05-05 00:00:00,165,"23 St (C,E)",Manhattan,40.745907,-73.99804,37.0,52.7393,1,1.0,1,0,0,0
2025-05-05 00:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,40.732338,-74.000496,621.0,117.8129,1,,0,0,0,0
2025-05-05 00:00:00,168,"Spring St (C,E)",Manhattan,40.726227,-74.00374,23.0,17.1782,1,1.0,1,0,0,0
2025-05-05 00:00:00,169,"Canal St (A,C,E)",Manhattan,40.720825,-74.005226,95.0,33.642,1,1.0,1,0,0,0
2025-05-05 00:00:00,173,"High St (A,C)",Brooklyn,40.699337,-73.99053,24.0,22.3694,1,1.0,1,0,0,0
2025-05-05 00:00:00,175,"Hoyt-Schermerhorn Sts (A,C,G)",Brooklyn,40.688484,-73.985,56.0,42.9018,1,3.0,1,0,0,0
