transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude
2025-05-05 06:00:00,subway,122,Graham Av (L),Brooklyn,omny,OMNY - Students,7.0,1.0,40.714565,-73.94405
2025-05-05 06:00:00,subway,125,Morgan Av (L),Brooklyn,metrocard,Metrocard - Other,5.0,0.0,40.706154,-73.93314
2025-05-05 06:00:00,subway,129,Halsey St (L),Queens,omny,OMNY - Full Fare,372.0,12.0,40.695602,-73.90408
2025-05-05 06:00:00,subway,134,Sutter Av (L),Brooklyn,omny,OMNY - Full Fare,71.0,0.0,40.66937,-73.90198
2025-05-05 06:00:00,subway,188,"Euclid Av (A,C)",Brooklyn,omny,OMNY - Seniors & Disability,28.0,6.0,40.675377,-73.87211
2025-05-05 06:00:00,subway,193,104 St (A),Queens,metrocard,Metrocard - Unlimited 7-Day,9.0,0.0,40.68171,-73.837685
2025-05-05 06:00:00,subway,197,Aqueduct-N Conduit Av (A),Queens,metrocard,Metrocard - Unlimited 7-Day,3.0,0.0,40.668236,-73.83406
2025-05-05 06:00:00,subway,211,"Bedford Park Blvd (B,D)",Bronx,metrocard,Metrocard - Fair Fare,16.0,1.0,40.873245,-73.88714
2025-05-05 06:00:00,subway,256,Parsons Blvd (F),Queens,metrocard,Metrocard - Unlimited 7-Day,34.0,0.0,40.707565,-73.80333
2025-05-05 06:00:00,subway,270,"46 St (M,R)",Queens,metrocard,Metrocard - Unlimited 30-Day,40.0,0.0,40.756313,-73.91333
2025-05-05 06:00:00,subway,270,"46 St (M,R)",Queens,omny,OMNY - Other,1.0,0.0,40.756313,-73.91333
2025-05-05 06:00:00,subway,284,Nassau Av (G),Brooklyn,omny,OMNY - Seniors & Disability,17.0,2.0,40.724636,-73.95128
2025-05-05 06:00:00,subway,289,Bedford-Nostrand Avs (G),Brooklyn,metrocard,Metrocard - Fair Fare,8.0,0.0,40.68963,-73.95352
2025-05-05 06:00:00,subway,32,"36 St (D,N,R)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,21.0,0.0,40.655144,-74.00355
2025-05-05 06:00:00,subway,35,"59 St (N,R)",Brooklyn,metrocard,Metrocard - Fair Fare,35.0,0.0,40.64136,-74.01788
2025-05-05 06:00:00,subway,422,"Burke Av (2,5)",Bronx,omny,OMNY - Full Fare,92.0,0.0,40.871357,-73.867165
2025-05-05 06:00:00,subway,446,Morris Park (5),Bronx,omny,OMNY - Seniors & Disability,2.0,0.0,40.854362,-73.8605
2025-05-05 06:00:00,subway,449,111 St (7),Queens,metrocard,Metrocard - Unlimited 30-Day,53.0,0.0,40.75173,-73.85533
2025-05-05 06:00:00,subway,471,34 St-Hudson Yards (7),Manhattan,metrocard,Metrocard - Fair Fare,4.0,0.0,40.755882,-74.00191
2025-05-05 06:00:00,subway,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,omny,OMNY - Seniors & Disability,33.0,2.0,40.74964,-73.987885
2025-05-05 06:00:00,subway,614,"59 St-Columbus Circle (1,A,C,B,D)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,37.0,0.0,40.768272,-73.981834
2025-05-05 06:00:00,subway,88,"Norwood Av (J,Z)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,13.0,0.0,40.68141,-73.880035
2025-05-05 06:00:00,subway,89,Cleveland St (J),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,10.0,0.0,40.679947,-73.884636
2025-05-05 06:00:00,subway,9,"57 St-7 Av (N,Q,R,W)",Manhattan,metrocard,Metrocard - Fair Fare,4.0,1.0,40.764664,-73.98066
2025-05-05 06:00:00,subway,108,Middle Village-Metropolitan Av (M),Queens,metrocard,Metrocard - Unlimited 30-Day,16.0,0.0,40.711395,-73.8896
2025-05-05 06:00:00,subway,126,Jefferson St (L),Brooklyn,omny,OMNY - Seniors & Disability,3.0,0.0,40.706608,-73.92291
2025-05-05 06:00:00,subway,138,Canarsie-Rockaway Pkwy (L),Brooklyn,omny,OMNY - Full Fare,79.0,6.0,40.646652,-73.90185
2025-05-05 06:00:00,subway,144,Dyckman St (A),Manhattan,metrocard,Metrocard - Unlimited 7-Day,23.0,0.0,40.86549,-73.92727
