transit_timestamp,station_complex_id,station_complex,borough,latitude,longitude,passenger_entries
2025-05-05 00:00:00,185,Liberty Av (C),Brooklyn,40.67454,-73.896545,10.0
2025-05-05 00:00:00,186,Van Siclen Av (C),Brooklyn,40.67271,-73.89036,8.0
2025-05-05 00:00:00,187,Shepherd Av (C),Brooklyn,40.67413,-73.88075,6.0
2025-05-05 00:00:00,188,"Euclid Av (A,C)",Brooklyn,40.675377,-73.87211,24.0
2025-05-05 00:00:00,189,Grant Av (A),Brooklyn,40.677044,-73.86505,8.0
2025-05-05 00:00:00,190,80 St (A),Queens,40.67937,-73.85899,6.0
2025-05-05 00:00:00,192,Rockaway Blvd (A),Queens,40.680428,-73.84386,32.0
2025-05-05 00:00:00,193,104 St (A),Queens,40.68171,-73.837685,1.0
2025-05-05 00:00:00,194,111 St (A),Queens,40.68433,-73.83216,1.0
2025-05-05 00:00:00,195,Ozone Park-Lefferts Blvd (A),Queens,40.68595,-73.8258,20.0
2025-05-05 00:00:00,196,Aqueduct Racetrack (A),Queens,40.672096,-73.83592,5.0
2025-05-05 00:00:00,198,Howard Beach-JFK Airport (A),Queens,40.660477,-73.8303,127.0
2025-05-05 00:00:00,210,Norwood-205 St (D),Bronx,40.87481,-73.87885,9.0
2025-05-05 00:00:00,211,"Bedford Park Blvd (B,D)",Bronx,40.873245,-73.88714,15.0
2025-05-05 00:00:00,212,"Kingsbridge Rd (B,D)",Bronx,40.866978,-73.89351,12.0
2025-05-05 00:00:00,213,"Fordham Rd (B,D)",Bronx,40.861298,-73.89775,18.0
2025-05-05 00:00:00,214,"182-183 Sts (B,D)",Bronx,40.856094,-73.90074,7.0
2025-05-05 00:00:00,215,"Tremont Av (B,D)",Bronx,40.85041,-73.90523,12.0
2025-05-05 00:00:00,216,"174-175 Sts (B,D)",Bronx,40.8459,-73.91013,6.0
2025-05-05 00:00:00,217,"170 St (B,D)",Bronx,40.839306,-73.9134,6.0
2025-05-05 00:00:00,218,"167 St (B,D)",Bronx,40.83377,-73.91844,20.0
2025-05-05 00:00:00,220,"155 St (B,D)",Manhattan,40.830135,-73.93821,7.0
2025-05-05 00:00:00,221,21 St-Queensbridge (M),Queens,40.754204,-73.94283,59.0
2025-05-05 00:00:00,222,Roosevelt Island (M),Manhattan,40.759144,-73.95326,14.0
2025-05-05 00:00:00,223,"Lexington Av/63 St (M,Q)",Manhattan,40.76463,-73.96611,107.0
2025-05-05 00:00:00,224,57 St (M),Manhattan,40.763973,-73.97745,89.0
2025-05-05 00:00:00,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",Manhattan,40.758663,-73.98133,327.0
2025-05-05 00:00:00,228,"23 St (F,M)",Manhattan,40.742878,-73.99282,84.0
2025-05-05 00:00:00,231,"Grand St (B,D)",Manhattan,40.718266,-73.99375,98.0
2025-05-05 00:00:00,232,2 Av (F),Manhattan,40.7234,-73.98994,110.0
2025-05-05 00:00:00,234,East Broadway (F),Manhattan,40.713715,-73.99017,49.0
2025-05-05 00:00:00,235,York St (F),Brooklyn,40.701397,-73.98675,49.0
2025-05-05 00:00:00,236,"Bergen St (F,G)",Brooklyn,40.686146,-73.99086,1.0
2025-05-05 00:00:00,237,"Carroll St (F,G)",Brooklyn,40.6803,-73.99505,15.0
2025-05-05 00:00:00,238,"Smith-9 Sts (F,G)",Brooklyn,40.67358,-73.99596,8.0
2025-05-05 00:00:00,240,"7 Av (F,G)",Brooklyn,40.66627,-73.98031,17.0
2025-05-05 00:00:00,241,"15 St-Prospect Park (F,G)",Brooklyn,40.660366,-73.97949,5.0
2025-05-05 00:00:00,242,"Fort Hamilton Pkwy (F,G)",Brooklyn,40.650784,-73.97578,2.0
2025-05-05 00:00:00,243,"Church Av (F,G)",Brooklyn,40.64404,-73.979675,12.0
2025-05-05 00:00:00,245,18 Av (F),Brooklyn,40.629753,-73.976974,5.0
2025-05-05 00:00:00,246,Avenue I (F),Brooklyn,40.62532,-73.97613,4.0
2025-05-05 00:00:00,249,Avenue P (F),Brooklyn,40.608944,-73.97302,2.0
2025-05-05 00:00:00,250,Kings Hwy (F),Brooklyn,40.603218,-73.97236,4.0
2025-05-05 00:00:00,252,Avenue X (F),Brooklyn,40.58962,-73.97425,1.0
2025-05-05 00:00:00,254,Jamaica-179 St (F),Queens,40.712646,-73.78381,29.0
2025-05-05 00:00:00,255,169 St (F),Queens,40.71047,-73.7936,13.0
2025-05-05 00:00:00,256,Parsons Blvd (F),Queens,40.707565,-73.80333,15.0
2025-05-05 00:00:00,257,Sutphin Blvd (F),Queens,40.70546,-73.81071,12.0
2025-05-05 00:00:00,258,"Briarwood (E,F)",Queens,40.70918,-73.82057,11.0
2025-05-05 00:00:00,259,"Kew Gardens-Union Tpke (E,F)",Queens,40.71444,-73.83101,65.0
2025-05-05 00:00:00,260,"75 Av (E,F)",Queens,40.71833,-73.837326,4.0
2025-05-05 00:00:00,261,"Forest Hills-71 Av (E,F,M,R)",Queens,40.72169,-73.84452,49.0
2025-05-05 00:00:00,262,"67 Av (M,R)",Queens,40.726524,-73.85272,3.0
2025-05-05 00:00:00,263,"63 Dr-Rego Park (M,R)",Queens,40.729847,-73.8616,23.0
2025-05-05 00:00:00,264,"Woodhaven Blvd (M,R)",Queens,40.733105,-73.86923,24.0
2025-05-05 00:00:00,265,"Grand Av-Newtown (M,R)",Queens,40.737015,-73.87722,30.0
2025-05-05 00:00:00,266,"Elmhurst Av (M,R)",Queens,40.742455,-73.88202,9.0
2025-05-05 00:00:00,268,"65 St (M,R)",Queens,40.74967,-73.89845,3.0
2025-05-05 00:00:00,269,"Northern Blvd (M,R)",Queens,40.752884,-73.906006,5.0
2025-05-05 00:00:00,270,"46 St (M,R)",Queens,40.756313,-73.91333,23.0
2025-05-05 00:00:00,271,"Steinway St (M,R)",Queens,40.756878,-73.92074,53.0
2025-05-05 00:00:00,272,"36 St (M,R)",Queens,40.75204,-73.92878,22.0
2025-05-05 00:00:00,273,"Queens Plaza (E,F,R)",Queens,40.748974,-73.93724,21.0
2025-05-05 00:00:00,276,"5 Av/53 St (E,F)",Manhattan,40.760166,-73.97523,11.0
2025-05-05 00:00:00,277,"7 Av (E,B,D)",Manhattan,40.762863,-73.981636,77.0
2025-05-05 00:00:00,278,"Jamaica Center-Parsons/Archer (E,J,Z)",Queens,40.70215,-73.80111,94.0
2025-05-05 00:00:00,279,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Queens,40.700485,-73.80797,191.0
2025-05-05 00:00:00,280,Jamaica-Van Wyck (E),Queens,40.702564,-73.81686,10.0
