stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id
"15519","Footscray Station","-37.80146849","144.90207529","https://transport.vic.gov.au/stop/1072/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:FSY","1","Level 0"
"15520","Footscray Station","-37.80155997","144.90215220","https://transport.vic.gov.au/stop/1072/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:FSY","1","Level 0"
"15521","Footscray Station","-37.80158062","144.90229926","https://transport.vic.gov.au/stop/1072/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:FSY","1","Level 0"
"15527","Craigieburn Station","-37.60229293","144.94322791","https://transport.vic.gov.au/stop/1044/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:CGB","1","Level 1"
"15528","Craigieburn Station","-37.60223730","144.94313883","https://transport.vic.gov.au/stop/1044/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:CGB","1","Level 1"
"15529","Broadmeadows Station","-37.68297900","144.91971723","https://transport.vic.gov.au/stop/1028/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:BMS","1","Level 0"
"15530","Broadmeadows Station","-37.68273700","144.91979203","https://transport.vic.gov.au/stop/1028/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:BMS","1","Level 0"
"15543","Essendon Station","-37.75624849","144.91633841","https://transport.vic.gov.au/stop/1064/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:ESD","1","Level 0"
"15544","Essendon Station","-37.75617343","144.91617026","https://transport.vic.gov.au/stop/1064/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:ESD","1","Level 0"
"15545","Essendon Station","-37.75617142","144.91605681","https://transport.vic.gov.au/stop/1064/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:ESD","1","Level 0"
"17204","Wallan Station","-37.41686100","145.00537226","https://transport.vic.gov.au/stop/1574/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:WAN","1","Level 0"
"19980","Melton Station","-37.70335908","144.57221577","https://transport.vic.gov.au/stop/1121/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:MEL","1","Level 0"
"19981","Rockbank Station","-37.72919081","144.65071313","https://transport.vic.gov.au/stop/1167/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:RBK","1","Level 0"
"19982","Deer Park Station","-37.77726729","144.77083121","https://transport.vic.gov.au/stop/1052/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:DEK","1","Level 0"
"19998","Sunbury Station","-37.57914973","144.72803035","https://transport.vic.gov.au/stop/1187/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:SUY","1","Level 0"
"20020","Ardeer Station","-37.78302620","144.80154202","https://transport.vic.gov.au/stop/1007/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:ARR","1","Level 0"
"20029","Craigieburn Station","-37.60227314","144.94312651","https://transport.vic.gov.au/stop/1044/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:CGB","1","Level 1"
"20043","Southern Cross Station","-37.81815683","144.95216625","https://transport.vic.gov.au/stop/1181/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:SSS","1","Level 0"
"20287","Albury Station","-36.08426161","146.92451544","https://transport.vic.gov.au/stop/1500/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","nsw:rail:ABY","1","Level 0"
"20288","Ararat Station","-37.28220485","142.93691370","https://transport.vic.gov.au/stop/1501/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:ART","1","Level 0"
"20289","Avenel Station","-36.89364778","145.22951498","https://transport.vic.gov.au/stop/1502/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:AVL","1","Level 0"
"20290","Bacchus Marsh Station","-37.68782809","144.43750226","https://transport.vic.gov.au/stop/1503/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:BAH","1","Level 0"
"20291","Bairnsdale Station","-37.82877565","147.62739832","https://transport.vic.gov.au/stop/1504/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:BDE","1","Level 0"
"20292","Ballan Station","-37.60429951","144.22544803","https://transport.vic.gov.au/stop/1505/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:BLN","1","Level 0"
"20293","Ballarat Station","-37.55865829","143.85953093","https://transport.vic.gov.au/stop/1506/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:BAT-V","1","Level 0"
"20294","Beaufort Station","-37.42787497","143.38223366","https://transport.vic.gov.au/stop/1507/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:BET","1","Level 0"
"20295","Benalla Station","-36.54455031","145.98391505","https://transport.vic.gov.au/stop/1508/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:BXA","1","Level 0"
